Speed,Title,Date Expression,Date Expression 1,Date Expression 2,Date - begin,Date - end,Notes,Restrictions,Other identifying information,Duplicate Status,Audio Notes,Filename,Subject names
"3.75 ips, stereo 1/2 track","RJ 1 - Music for Auden's ""Age of Anxiety""",1955,1955,,1955,1955,Made for living theatre production.,,RJ 1,,"Tape had numerous broken splices, audio appears to be running backwards aaprox. 18' into the tape",MSS0180_B236_F01,
"3.75 ips, mono 1/2 track",RJ 1A -  Robin Prising Poetry Recital,1958 August 18,1958,August 18,1958,1958,"Extensive notes on original box. Featuring W.H. Auden, Dylan Thomas, Gerard M. Hopkins, and Henry Reed.",,RJ 1A,,,"MSS0180_B236_F02_1, MSS0180_B236_F02_2",
"7.5 ips, 1/2 mono track",RJ 2 - Age of Anxiety,1955,1955,,1955,1955,Extensive notes on original box.,,RJ 2,,,"MSS0180_B236_F03_1, MSS0180_B236_F03_2",
3.75 ips,RJ 3 - Agamemnon,circa 1956,,,1951,1961,"Performed at 965 Hoen. Featuring Vera Lachmann, Ben Schwartzberg, Jackson Mac Low, Electra Vize, etc.",,RJ 3,,,"MSS0180_B236_F04_1, MSS0180_B236_F04_2",
"7.5 ips, 1/2 mono track",RJ 4 - Agamemnon (Copy),circa 1956,,,1951,1961,Mono. Duplicate of RJ 3,,RJ 4,Dupe of RJ 3,,MSS0180_B236_F05,
"3.75 ips, mono 1/2 track",RJ 5 - Spontaneous Improvisation and Chance Poems,1959 June,1959,June,1959,1959,,,RJ 5,,,"MSS0180_B236_F06_1, MSS0180_B236_F06_2",
"7.5 ips, 1/2 mono track","RJ 6 - Agamemnon, Water I and Water II",1961 January 1,1961,January 1,1961,1961,,,RJ 6,,,"MSS0180_B236_F07_1, MSS0180_B236_F07_2",
"7.5 ips, 1/2 mono track","RJ 7 - Water I and II, Breath",1961 January 6,1961,January 6,1961,1961,"Performed in the Bronx, New York.",,RJ 7,,Distorted,MSS0180_B236_F08,
"3.75 ips, mono 1/2 track",The Long Hot Summer,1964 August,1964,August,1964,1964,,,,,,"MSS0180_B236_F09_1, MSS0180_B236_F08_2",
"7.5 ips, 1/2 mono track",RJ 8 - Chamber Music for Barney Childs,1964 October,1964,October,1964,1964,"Mono. Track 1: October 1964, Tucson. P. Middleton, flute; F. Eaton, clarinet; B. Tucker, oboe; P. Rehfeldt, bassoon. Track 2: January 1964, Tucson. Featuring Middleton, Tucker, Eaton, Rehfeldt. L. Veres on clarinet.",,RJ 8,,,"MSS0180_B236_F10_1, MSS0180_B236_F10_2",
"7.5 ips, 1/2 mono track","RJ 9 - NY Performance of ""Chamber Music for Barney Childs""",1964,1964,,1964,1964,May be first performance.,,RJ 9,,,MSS0180_B236_F11,
"7.5 ips, 1/2 mono track",RJ 10 - A Reading of Poems (Solo),1964,1964,,1964,1964,"Stereo. For Italian Radio. Poems from 1954, 1955, 1960, 1961, 1963, and 1964. Featuring Glass Buildings, 3rd Biblical Poem. ",,RJ 10,,,MSS0180_B236_F12,
"7.5 ips, 1/2 mono track",RJ 11 - The Long Hot Summer,1964 November,1964,November,1964,1964,"2nd performance. Philip Corner, trombone, percussion, and speech; Mac Low, recorder; Benjamin Patterson, contrabass; Charlotte Moorman, violincello; Malcolm Goldstein, violin; Nam June Paik, piano.",,RJ 11,,,"MSS0180_B236_F13_1, MSS0180_B236_F13_2",
"3.75 ips, mono 1/2 track",RJ 12 - Mac Low Reading at Brooklyn College,1965 July 29,1965,July 29,1965,1965,,,RJ 12,,Electrical hum,MSS0180_B236_F14,
"7.5 ips, 1/2 mono track",RJ 13 - Jackson Mac Low Reading De Paul Chicago,1965 June,1965,June,1965,1965,"Mono. Track 1: Reading JML Poems, Glass Buildings, 3rd Biblical Poem, 6 Gitanjali for Iris, Mark Twain 2nd Gatha (Nami Amida Butore), 2 Asymmetries 193 and 487, Presidents, Pronouns 1 and 2,  3 Short Duets, and Asymmetry 175. Track 2: Continuation of Asymmetry 175, Asymmetry 81, 5th Gatha, and The Prayer to the Gurus.",,RJ 13,,,"MSS0180_B236_F15_1, MSS0180_B236_F15_2",
"7.5 ips, 1/2 mono track","RJ 14 - The Text on the Opposite Page, performed at the Studio for Experimental Music, University of Illinois",1965,1965,,1965,1965,"Recorded by Max Neuhaus at the Studio for Experimental Music, University of Illinois. Labelled ""one and only master."" In metal can. ",,"RJ 14. Labelled ""one and only master."" In metal can.",,,MSS0180_B236_F16,
"Track 1, 3.75 ips. Track 2, 7.5 ips mono",RJ 18 - Fischbach Gallery Reading,1966 January 13,1966,January 13,1966,1966,"Track 1: Rochelle Owens reading. Track 2: Mac Low reading featuring 17 Haikus, a coda, and a dialog for Mike Quill; The Pronouns, dances 1 through 24; Jesus Have Mercy, assisted by David Audin, Paul Blackburn, and Jerome Rothenberg. Recorded at the Fischbach Gallery.",,RJ 18,,,"MSS0180_B236_F17_1, MSS0180_B236_F17_2","Jerome Rothenberg, Paul Blackburn"
"3.75 ips, mono 1/2 track",RJ 19 - Jackson Mac Low Reading at Hotel Chelsea,1966 February 28,1966,February 28,1966,1966,,,RJ 19,,,"MSS0180_B236_F18_1, MSS0180_B236_F18_2",
"3.75 ips, mono 1/2 track","RJ 20 - Corelli, Schonberg",1966 May 4,1966,May 4,1966,1966,"Also featuring Los Cantios de Santa Maria and 4th Gatha  - Corelli piece: Sonata in Bb major,opus 4 #9broadcast on WBAI,  Schonberg piece: Quartet #3, opus 30 performed by Julliard String Quartet, Schonberg Variations for Orchestra, opus 31,  < one more piece performed, but announcement too distorted to ID > broadcast on WRVR, (MSS0180_B236_F19_1) --  Schonberg piece: Quartet #4, opus 37 performed by Julliard String Quartet (MSS0180_B236_F19_2)",,RJ 20,,Electrical hum and overload distortion,"MSS0180_B236_F19_1, MSS0180_B236_F19_2",
"3.75 ips, stereo 1/2 track",RJ 21 - Poetry Discovered #60,1966 May 20,1966,May 20,1966,1966,"Stanzas for Iris Lezak at the end of the tape, featuring Jerome Rothenberg, Em Williams, David Audin, Spencer Holst, Mac Low, and Iris Lezak. Performance on WRVR Radio.",,RJ 21,,,MSS0180_B236_F20,"Jerome Rothenberg, Iris Lezak, Spencer Holst"
"3.75 ips, mono 1/2 track",RJ 22 - Jersey City State College Reading,1966 May,1966,May,1966,1966,"Track 1: Voices include Diane Wakozki, Mac Low, Vera Ladmam and Spencer Holst. Track 2: Paul Blackburn and Discussion. Tape appears to be in poor condition.",,RJ 22. Tape appears to be in poor condition.,,,"MSS0180_B236_F21_1, MSS0180_B236_F21_2","Diane Wakoski, Spencer Holst, Paul Blackburn"
"7.5 ips, 1/2 mono track","RJ 23 - Asymmetries 21-28, and the Battle of Danang",circa 1966,,,1961,1971,"Track 1: Asymmetries 21-23 and the Battle of Danang, Mac Low reading 21-28 with radio. Track 2: Asymmetries 24-28 and conclustion of the Battle of Danang.",,RJ 23.,,,"MSS0180_B236_F22_1, MSS0180_B236_F22_2",
"3.75 ips, mono 1/2 track",RJ 24 - Various poems and noises; 1st Asymmetry for Iris,1966 June 25-27,1966,June 25-27,1966,1966,"Track 1: Various recorded noises; 1961 August and 1966 May-June prerecordings of Mac Low poems accompanied by radio and environmental sounds. Track 2: Continuation, instrumental music. Track 3: Mac Low and radio; Mac Low reading 1st Asymmetry for Iris (1960) with noises.",,RJ 24.,,Electrical hum and overload distortion,"MSS0180_B236_F23_1, MSS0180_B236_F23_2",
"3.75 ips, mono 1/2 track",RJ 24A - Asymmetries 1-10,1966 June,1966,June,1966,1966,"Track 1: 2nd, 3rd, and 4th Asymmetries for Iris, with radio. Track 2: Continuation of 4th Asymmetry, Asymmetries 1-10 with radio. Tape appears to be in poor condition.",,RJ 24A. Tape appears to be in poor condition.,,Some audio bleed-through,MSS0180_B236_F24_1,
"3.75 ips, mono 2 track",RJ 25 - Asymmetries 11-20,1966 June,1966,June,1966,1966,Extensive notes on original box.,,RJ 25.,,,"MSS0180_B236_F25_1, MSS0180_B236_F25_2",
"7.5 ips, 1/2 mono track","RJ 26 - Asymmetries 94, 259",1966 July 4,1966,July 4,1966,1966,"Track 1: Asymmetry 259 with Mac Low voice, autoharp, drum, and outside noises, etc. Track 2: Asymmetry 94, with Mac Low and envionmental sounds and high amplification.",,RJ 26.,,,"MSS0180_B236_F26_1, MSS0180_B236_F26_2",
"3.75 ips, mono 1/2 track","RJ 26A - Asymmetries 29, 30",1966 July 6,1966,July 6,1966,1966,,,RJ 26A,,Electrical hum,"MSS0180_B236_F27_1, MSS0180_B236_F27_2",
"7.5 ips, 1/2 mono track",RJ 27 - Asymmetries 29-40,1966 July 6,1966,July 6,1966,1966,"Track 1: Asymmetries 29-32 with piano, string, and woodwind quintet. Track 2: Asymmetries 33-40 with radio music and other sounds.",,RJ 27.,,,"MSS0180_B236_F28_1, MSS0180_B236_F28_2",
"7.5 ips, 1/2 mono track",RJ 28 - Asymmetries 41-44,1966 July 6,1966,July 6,1966,1966,Track 1: Radio music. Track 2: Asymmetries 41-44.,,RJ 28,,,"MSS0180_B236_F29_1, MSS0180_B236_F29_2",
"7.5 ips, 1/2 mono track",RJ 28A - Asymmetries 45-60,1966 July 6,1966,July 6,1966,1966,Track 1: Asymmetries 45-48 with 17th century French music. Track 2: Asymmetries 49-60 (partial) with French music. A. 52-beginning of 60 with interviews with welfare protest march leaders,,RJ 28A,,,"MSS0180_B236_F30_1, MSS0180_B236_F30_2",
"7.5 ips, 1/2 mono track",RJ 28B - Asymmetries 60-78,1966 July 6,1966,July 6,1966,1966,Track 1: Asymmetries 60-69 with street sounds. Track 2: Asymmetries 70-78 with interview of Miles Hauplaton.,,RJ 28B,,Electrical hum,"MSS0180_B236_F31_1, MSS0180_B236_F31_2",
"7.5 ips, 1/2 mono track","RJ 28C - Asymmetries 79-92, 354-356",1966 August 17,1966,August 17,1966,1966,"Track 1: Asymmetries 79-91 (partial) with street and water sounds. Track 2: Asymmetries 91 (partial)-92, 354-356.",,RJ 28C,,,"MSS0180_B236_F32_1, MSS0180_B236_F32_2",
"3.75 ips, mono 1/2 track","RJ 28D - Asymmetries 108-143, 143-160",circa 1966,,,1961,1971,Track 1: Asmmetries 108-143. Track 2: Asymmetries 143-160. Extensive liner notes on original box.,,RJ 28D,,,"MSS0180_B236_F33_1, MSS0180_B236_F33_2",
"7.5 ips, 1/2 mono track",RJ 28E - 14th Light poem,1966 July 6,1966,July 6,1966,1966,Read by Mac Low. Mostly blank.,,RJ 28E (mostly blank).,,,MSS0180_B236_F34,
"3.75 ips, mono 1/2 track","RJ 28F - Asymmetries 99-107, 186-190",1966 July 8,1966,July 8,1966,1966,Track 1: Asmmetries 99-109. Track 2: Asymmetries 186-190.,,RJ 28F,,Electrical hum and overload distortion,"MSS0180_B236_F35_1, MSS0180_B236_F35_2",
"7.5 ips, mono 2-track",RJ 29 - Asymmetries 161-180,1966 July 26-27,1966,July 26-27,1966,1966,"Track 1: Asymmetries 161-175 (partial). Track 2: 175 (partial)-180. With radio sounds, recorded instruments, and other amplified sounds (feedback, hum, etc.). Recorded at 965 Hoe Ave., the Bronx, New York",,RJ 29,,,"MSS0180_B236_F36_1, MSS0180_B236_F36_2",
"3.75 ips, mono 1/2 track","RJ 30 - Asymmetries 93-98, 181-185",1966 August 1,1966,August 1,1966,1966,Track 1: Asymmetries 93-98. Track 2: 181-185.,,RJ 30,,,"MSS0180_B237_F01_1, MSS0180_B237_F01_2",
"7.5 ips, mono full",RJ 31 - First Calese mix,1966 August 23,1966,August 23,1966,1966,"Includes full or partial recordings of Asymmetries 21-23, 81, 175, 191, 193, 487.",,RJ 31,,,MSS0180_B237_F02,
"7.5 ips, 1 track",RJ 32 - Fifth Gatha Canon with Danang Battle Sounds,1966 August 23,1966,August 23,1966,1966,,,RJ 32,,Overload distortion,MSS0180_B237_F03,
"7.5 ips, mono full",RJ 32A - Second Mix,1966 August 27,1966,August 27,1966,1966,,,RJ 32A,,Electrical hum and overload distortion,MSS0180_B237_F04,
"7.5 ips, 1/2 track",RJ 33 - Third Mix,1966 August 27,1966,August 27,1966,1966,,,RJ 33,,Electrical hum and overload distortion,MSS0180_B237_F05,
"7.5 ips, 1/2 track","RJ 33A - 4th Gatha, Chamber Music for Barney Childs",1966 September 13,1966,September 13,1966,1966,Recorded at Town Hall. Master track. Reel 1.,,RJ 33A,,,MSS0180_B237_F06,
"7.5 ips, 1/2 track","RJ 33B - The Text on the Opposite Page, The Long Hot Summer",1966 September 13,1966,September 13,1966,1966,Recorded at Town Hall. Master track. Reel 2.,,RJ 33B,,Overload distortion,MSS0180_B237_F07,
"7.5 ips, 1/2 track","RJ 33C - Asymmetries, Gathas, and Sounds From Everywhere",1966 September 13,1966,September 13,1966,1966,Recorded at Town Hall. Master track. Reel 3.,,RJ 33C,,,MSS0180_B237_F08,
"7.5 ips, full track","RJ 33D - 4th Gatha, Chamber Music for Barney Childs, Asymmetries, and Sounds From Everywhere",1966 September 13,1966,September 13,1966,1966,Recorded at Town Hall. Copy. Reel 1. Box is damaged. ,,RJ 33D. Box is damaged.,Dupe of RJ 33A,,MSS0180_B237_F09,
7.5 ips,RJ 34 - Excerpts from Jacajurismetics,1967 May 11,1967,May 11,1967,1967,"Collaborative piece featuring Carol Bege, Emmett Williams, Iris Lezak, Jud Yalkut, and Mac Low.",,RJ 34,,,MSS0180_B237_F10,Iris Lezak
7.5 ips,RJ 35 - Bluebird Asymmetries,1967 May 26,1967,May 26,1967,1967,"Asymmetries 1-10, various. Like a Map the Arcana of the Universe Lay Bare.  Featuring Mannes students.",,RJ 35,,,MSS0180_B237_F11,
"7.5 ips, stereo",RJ 36 - Philosophical Investigations,1967 June,1967,June,1967,1967,2 tracks of 4. Notes on box.,,RJ 36,,,"MSS0180_B237_F12_1, MSS0180_B237_F12_2",
7.5 ips mono 2 tracks,"RJ 37 - Bronx Home Movie, Jersey City I",1967 June,1967,June,1967,1967,,,RJ 37,,"Tape is highly distorted with speed variations due to sticking.  Appears to be 4-channel; parts 1 & 2 areL/R from side A, parts 3 & 4L/R from side B.","MSS0180_B237_F13_1, MSS0180_B237_F13_2, MSS0180_B237_F13_3, MSS0180_B237_F13_4",
"7.5 ips, 1/2 track",RJ 38 - Bronx Home Movie,1967 June,1967,June,1967,1967,2 tracks. In an envelope.,,RJ 38,,Mostly feedback on second track,"MSS0180_B237_F14_1, MSS0180_B237_F14_2",
7.5 ips mono 2 tracks,RJ 39 - Jersey City I,1967 June 28,1967,June 28,1967,1967,The two tracks are made so that they may be played at the same time as they are going in opposite directions.,,RJ 39,,Tape has recorded material at different speeds as well as different directions. overload distortion,"MSS0180_B237_F15_1, MSS0180_B237_F15_2",
7.5 ips mono 2 tracks,RJ 40 - Jersey City II,1967 June 28,1967,June 28,1967,1967,"Speakers include Paul Blackburn Spencer Holst, Vera Lachmann, Jackson Mac Low, Mordecai Mark Mac Low, Diane Wakoski, and Perle Epstein",,RJ 40,,Tape has recorded material at different speeds as well as different directions. overload distortion,"MSS0180_B237_F16_1, MSS0180_B237_F16_2","Paul Blackburn, Spencer Holst, Vera Lachmann, Mordecai-Mark Mac Low, Diane Wakoski"
7.5 ips mono 2 tracks,RJ 41 - Jersey City III,1967 June 28,1967,June 28,1967,1967,,,RJ 41,,Tape has recorded material at different speeds as well as different directions. overload distortion,"MSS0180_B237_F17_1, MSS0180_B237_F17_2",
7.5 ips,RJ 42 - Jersey City IV,1967 June 28,1967,June 28,1967,1967,,,RJ 42,,Tape has recorded material at different speeds as well as different directions. overload distortion,"MSS0180_B237_F18_1, MSS0180_B237_F18_2",
7.5 ips,RJ 43 - Jersey City V,1967 June 28,1967,June 28,1967,1967,,,RJ 43,,Tape has recorded material at different speeds as well as different directions. overload distortion,"MSS0180_B237_F19_1, MSS0180_B237_F19_2",
"7.5 ips, stereo 2-track",RJ 44 - Fourth of July Mix,1967 July,1967,July,1967,1967,Recorded over July 1st-4th. Lasts about 25 minutes.,,RJ 44,,Tape has recorded material at different speeds as well as different directions. overload distortion,MSS0180_B237_F20,
"7.5 ips, stereo 2-track",RJ 44A - Improvisation on Piano,1967 July,1967,July,1967,1967,"Track 1: Improvisation on Piano with Jackson Mac Low, Mordecai Mark Mac Low, and Clarinda Mac Low. Track 2: Voyage to Haiphong Continuing Alone. There is a piece of paper with information inside the box.",,RJ 44A,,,MSS0180_B237_F21_1. MSS0180_B237_F21_2,"Mordecai-Mark Mac Low, Clarinda Mac Low"
"7.5 ips, mono",RJ 45 - Recording by Shirley Clarke,1967 Fall,1967,Fall,1967,1967,,,RJ 45,,Electrical hum,MSS0180_B237_F22,
7.5 ips mono 2 tracks,Various Recordings,1967 December,1967,December,1967,1967,"This tape features many things, including performers on The Tonight Show, Christmas music, news reports, and classical music. Extensive notes on papers inside box. First recorded reel.",,,,,"MSS0180_B237_F23_1, MSS0180_B237_F23_2",
"7.5 ips, mono","RJ 46 - 5th Gatha, Bluebird Asymmetries",1968 January 4,1968,January 4,1968,1968,"Featuring Iris Lezak, Leonard Newfeld, Jerry Rothenberg, and Jackson Mac Low.",,RJ 46,,Overload distortion,MSS0180_B237_F24,"Iris Lezak, Jerome Rothenberg"
"7.5 ips, mono","RJ 47 - 5th Gatha, Whisper Tape",1968 January 4,1968,January 4,1968,1968,"Featuring Iris Lezak, Leonard Newfeld, Jerry Rothenberg, and Jackson Mac Low.",,RJ 47,,Overload distortion,MSS0180_B237_F25,"Iris Lezak, Jerome Rothenberg"
"7.5 ips, stereo",RJ 47A - A Vocabulary for Carl Fernbach-Flarsheim,1968 January,1968,January,1968,1968,Realized at the Tyler School of Art.,,RJ 47A,,Tape has recorded material at different speeds as well as different directions.,MSS0180_B237_F26,
"7.5 ips, mono",Various Recordings,1968 January 7,1968,January 7,1968,1968,"This tape features many things, including sermons, toasts, songs, and performers on The Tonight Show. Extensive notes on papers inside box. Second recorded reel.",,,,,MSS0180_B237_F27,
"7.5 ips, mono",Tune in D,1968 January,1968,January,1968,1968,Works by Schubert. Extensive notes on box.,,,,Plastic disk (a record) inside tape box.,MSS0180_B237_F28,
7.5 ips mono 2 tracks,Various Recordings,1968 March 16,1968,March 16,1968,1968,"This tape features many things, including news reports, lectures, and concerts. Extensive notes on papers inside box. Third recorded reel.",,,,,"MSS0180_B237_F29_1, MSS0180_B237_F29_2",
7.5 ips mono 2 tracks,Various Recordings,1968 June 5,1968,June 5,1968,1968,"This tape features many things, including news reports on the shooting of Robert Kennedy, excerpts from the Lawrence Welk Show, The 1968 Republican Convention, anniversary announcements, and speeches by Richard Nixon. Extensive notes on papers inside box. Fourth recorded reel.",,,,,"MSS0180_B237_F30_1, MSS0180_B237_F30_2",
7.5 ips mono 2 tracks,Various Recordings,1968 September 7,1968,September 7,1968,1968,"This tape features many things, including a concert by Liberace and Benny Goodman, speeches by Nixon and Humphery, and speeches at the 1968 Democratic Convention. Extensive notes on papers inside box. Fifth recorded reel.",,,,,"MSS0180_B237_F31_1, MSS0180_B237_F31_2",
"7.5 ips, mono",RJ 48 - Mystery Tape,1968 November,1968,November,1968,1968,"Track 1: (You-I?) Track 2: Port-au-Prince and Adams County Illinois. Recorded in Devonshire, UK. Directed by Fred Clitheroe.",,RJ 48,,,MSS0180_B237_F32,
"7.5 ips, mono",RJ 48A - Vancouver Rehearsal at Tallmans',1969 February 2,1969,February 2,1969,1969,"At the University of British Columbia. 2nd Gatha, Stanzas for Iris Lezak, and Velikovsky Dice-Song.",,RJ 48A,,,"MSS0180_B237_F33_1, MSS0180_B237_F33_2",
"7.5 ips, mono",RJ 48B - Vancouver Reading,1969 February 4,1969,February 4,1969,1969,Track 1: Flagburn. Track 2: 2nd Gatha. Extensive notes on box.,,RJ 48B,,,MSS0180_B237_F34,
"7.5 ips, mono",RJ 49 - Alarm Clock,1969 May 14,1969,May 14,1969,1969,"At the Maryland Institute of Art, Blatimore, Maryland. Extensive notes in box.",,RJ 49,,,MSS0180_B237_F35,
,RJ 50 - Blackburn Saying Whitman,1969 May,1969,May,1969,1969,"Made on Audio Vendor for ""Waltspacer""",,RJ 50,,Recording is <30 seconds long,MSS0180_B238_F01,
"3.75 ips, mono",RJ 50A - New School Program,1969,1969,,1969,1969,Asymmetries with fragmentary background of other JML poems.,,RJ 50A,,Both soundfiles are completely distorted,"MSS0180_B238_F02_1, MSS0180_B238_F02_2",
7.5 ips mono 2 tracks,Various Recordings,1969 July 26,1969,July 26,1969,1969,"This tape features many things, including the moon landing, a performance by Jack Benny and Liberace, songs, and Nixon's inauguration. Extensive notes on papers in box. Sixth recorded reel.",,,,,"MSS0180_B238_F03_1, MSS0180_B238_F03_2",
"7.5 ips, mono",RJ 51 - NYU Elesterclass,1970 April 7,1970,April 7,1970,1970,"14th Light Poem, 52635 the 3rd Biblical Poem, Word event, Text on the Opposite Page, Long Hot Summer.",,RJ 51,,,MSS0180_B238_F04,
7.5 ips mono 2 tracks,RJ 51A - Beginning MIT Tape,1970 March 18,1970,March 18,1970,1970,5th Biblical,,RJ 51A,,,MSS0180_B238_F05,
"7.5 ips, mono",RJ 52 - MIT,1970 March 18,1970,March 18,1970,1970,"Denise Levertov's class. 5th Biblical poem, Dona Rita, Joseph Conrad, Nuclei Iza, Jailbreak, Thanks, 2nd Light Poem, 7th Light Poem, 23rd Light Poem, 28th Light Poem. Note on reel states that there is a bad hum on the recording.",,RJ 52,,Electrical hum and uneven recording levels,MSS0180_B238_F06,
"7.5 ips, mono",RJ 52A - 30th Light Poem for Allan Kaprow,1970 May,1970,May,1970,1970,"Road Signals, Village Vanguard ",,RJ 52A,,,MSS0180_B238_F07,
"3.75 ips, mono 2 track",Various Recordings,1971 February 25,1971,February 25,1971,1971,"This tape is mostly empty. The last word on the number 2 side is ""Clarinda."" Also recorded is part of ""Life is a Bubble."" Extensive notes on papers inside box. Seventh recorded reel.",,,,,"MSS0180_B238_F08_1, MSS0180_B238_F08_2",
3.75 ips,"RJ 53 - Sir George Williams University, Montreal",1971 March 26,1971,March 26,1971,1971,"Glass Buildings, 3rd Biblical Poem, Flag Poem, Stanza Poems, Text on the Opposite Page, 5th Gatha, Bluebirds. Extensive notes on paper inside box.",,RJ 53,,,MSS0180_B238_F09,
"3.75 ips, 1 track","RJ 54 - Sir George Williams University, Montreal",1971 March 26,1971,March 26,1971,1971,"Bluebirds, THE.",,RJ 54,,,MSS0180_B238_F10,
"7.5 ips, mono",RJ 55 - Boston Piece,1971 April,1971,April,1971,1971,"""The Elements at 1764 Popham Ave., Bronx, NY and at the Lecture Hall of the Boston Museum of Fine Arts."" Featuring Iris Lezak, Jackson Mac Low, and Mordecai-Mark Mac Low.",,RJ 55,,,MSS0180_B238_F11,"Iris Lezak, Mordecai-Mark Mac Low "
"3.75 ips, mono",RJ 56 - Water I,1971 April,1971,April,1971,1971,"""The Elements at 1764 Popham Ave., Bronx, NY and at the Lecture Hall of the Boston Museum of Fine Arts."" Featuring Iris Lezak, Jackson Mac Low, and Mordecai-Mark Mac Low.",,RJ 56,,,MSS0180_B238_F12,"Iris Lezak, Mordecai-Mark Mac Low "
"3.75 ips, mono",RJ 57 - Air II,1971 April,1971,April,1971,1971,"""The Elements at 1764 Popham Ave., Bronx, NY and at the Lecture Hall of the Boston Museum of Fine Arts."" Featuring Iris Lezak, Jackson Mac Low, and Mordecai-Mark Mac Low.",,RJ 57,,,MSS0180_B238_F13,"Iris Lezak, Mordecai-Mark Mac Low "
"3.75 ips, mono",RJ 58 - Fire III,1971 April,1971,April,1971,1971,"""The Elements at 1764 Popham Ave., Bronx, NY and at the Lecture Hall of the Boston Museum of Fine Arts."" Featuring Iris Lezak, Jackson Mac Low, and Mordecai-Mark Mac Low.",,RJ 58,,,MSS0180_B238_F14,"Iris Lezak, Mordecai-Mark Mac Low "
