Speed,Title,Date Expression,Date Expression 1,Date Expression 2,Date - begin,Date - end,Notes,Restrictions,Other identifying information,Duplicate Status,Audio Notes,Filename,Subject names
"7.5 ips, stereo 1/2 track","RJ 139 - Homage to Leona Bleiweiss Part 4, Sluggishness",1976 May 21,1976,May 21,1976,1976,Jackson Mac Low on voice and piano.,,RJ 139,,,MSS0180_B241_F11,
"7.5 ips, stereo 1/2 track",Rehearsal of Homage to Leona Bleiweiss,1976,1976,,1976,1976,,,,,,MSS0180_B241_F12,
"7.5 ips, stereo 1/2 track",Absence of Silence,1976 July 24,1976,July 24,1976,1976,Recorded in NYC. Jackson Mac Low and Perry Robinson. Produced by Dave Zimmer and Matthew Paris.,,,,"extremely muffled, gaps in soundfile","MSS0180_B241_F13_1, MSS0180_B241_F13_2",
"7.5 ips, stereo 1/2 track","Bessie Smith Memorial, Grassroots",1976 October 3,1976,October 3,1976,1976,,,,,,MSS0180_B241_F14,
"7.5 ips, stereo",WBAI Free Music Store,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman.,,,,duplicate of MSS0180_B241_F16,MSS0180_B241_F15,
"7.5 ips, stereo",WBAI Free Music Store Copy,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman.,,,,better version,MSS0180_B241_F16,
"7.5 ips, stereo",WBAI Free Music Store Copy,1976 October 14,1976,October 14,1976,1976,Composer's Forum featuring Jackson Mac Low. Recording Engineer: Dave Marx. Concert produced by Ira Weitzman. Extensive notes on box.,,,,duplicate of MSS0180_B241_F16,MSS0180_B241_F17,
"7.5 ips, stereo 1/2 track",Rehearsal of Homage to Leona Bleiweiss,1976 October,1976,October,1976,1976,"Repeopled and Sluggishness. Featuring Rhys Chatham, flute; Jackson Mac Low, piano; Sharon Mattlin, recorder; Martha Siegel, cello; Ned Sublette, guitar. Recorded at 42 N. Moore St, 6th floor, NY - Mac Low's loft. ",,,,,MSS0180_B241_F18,Sharon Mattlin
"7.5 ips, stereo 1/2 track",JML on Piano,1976 November 28,1976,November 28,1976,1976,,,,,,MSS0180_B241_F19,
"7.5 ips, stereo 1/2 track",Diane I,1976 November,1976,November,1976,1976,,,,,,MSS0180_B241_F20,
"3.75 ips, stereo 1/4 track",Notre Dame University,1977 April 27,1977,April 27,1977,1977,Recording Engineer: Bob Stanton. Cassette 1977 April 27 - JML at NDU is a duplicate,,,Cassette 1977 April 27 - JML at NDU is a dupe,extremely muffled,"MSS0180_B241_F21_1, MSS0180_B241_F21_2",
"7.5 ips, 1/2 track",Milarepa Gatha,1977 September 21,1977,September 21,1977,1977,Performed at the Festival of New Music at the Cleveland Museum of art.,,,,,MSS0180_B241_F22,
"7.5 ips, 1/2 track",SUNY Albany I,1977,1977,,1977,1977,,,,,,MSS0180_B247_F01,
"7.5 ips, 1/2 track",SUNY Albany II,1977,1977,,1977,1977,,,,,,MSS0180_B247_F02,
7.5 ips,"Media discussion and unidentified recording. Laguna Gloria Museum, Austin Texas",1978 January 14-15,1978,January 14-15,1978,1978,2 reels,,2 reels,,,MSS0180_B241_F23,
7.5 ips,"Media discussion and unidentified recording. Laguna Gloria Museum, Austin Texas",1978 January 14-15,1978,January 14-15,1978,1978,2 reels,,2 reels,,,MSS0180_B241_F24,
"7.5 ips, dual stereo","Milarepa Gatha, and Homage to Leona Bleiweiss Parts 1, 4 and 5",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F25,
"7.5 ips, dual stereo","Phone, and A Vocabulary for Peter Innis Free Moore, performed at Dartmouth College",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F26,
"7.5 ips, dual stereo","Fifteen Quinzains for Stephanie Vevers, Guru-Guru Gatha",1978 January 21,1978,January 21,1978,1978,Cassette 1978 January 21 - Dartmouth is a duplicate,,,Cassette 1978 January 21 - Dartmouth is a dupe,,MSS0180_B241_F27,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F28,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F29,
"7.5 ips, 1/2 track",[Unidentified] performances at Kitchen,1978 May 30,1978,May 30,1978,1978,2 tapes on 1978 May 30 - Kitchen are duplicates,,3 reels,2 tapes on 1978 May 30 - Kitchen are dupes,extremely muffled,MSS0180_B241_F30,
"7.5 ips, stereo 1/2 track","1st Sharon Belle Mattlin Vocabulary Crossword Gatha, Bluebird Asymmetries, and Young Turtle Asymmetries",1978 December 2,1978,December 2,1978,1978,"Composed by Mac Low. Recorded by A. Bernstein at the Peabody Conservatory, Baltimore.",,,,,MSS0180_B241_F31,
"7.5 ips, stereo 1/2 track","Nymphomaniac Alphabet Poems, and This is the Beginning of Something New",1978 December 2-3,1978,December 2-3,1978,1978,"Composed and performed by Mac Low. ""This is the Beginning"" includes K. Malone, A. Bernstein, M. Reese. Recorded by A. Bernstein at the Peabody Conservatory, Baltimore.",,,,,MSS0180_B241_F32,
"7.5 ips, stereo 1/2 track",Homage to Leona Bleiweiss Parts 1-5,1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore.",,2 reels,,,MSS0180_B241_F33,
"7.5 ips, stereo 1/2 track",Homage to Leona Bleiweiss Parts 1-5,1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore.",,2 reels,,,MSS0180_B241_F34,
"7.5 ips, stereo 1/2 track","Musicwords, for Phill Niblock and Vocabulary Gatha, for Pete Rose",1978 December 3,1978,December 3,1978,1978,"North Hall Session. Recorded by William Maylan at the Peabody Conservatory, Baltimore. With Mac Low, piano; Custer Larue, voice; Allan Ware, clarinet; Mitch Pressman, contrabass; Alec Bernstein, synthesizer.",,,,,MSS0180_B241_F35,
"7.5 ips, stereo 2-track",Reel 2 of Jackson Mac Low Retrospective Concert Series on Arts Extra,1978 December 7,1978,December 7,1978,1978,,,,,two reels,MSS0180_B247_F03,
"7.5 ips, stereo 1/2 track",LETT,1979 January 25,1979,January 25,1979,1979,Played and spoken by Ned Sublette. Recorded at Charlie Morrow's. ,,,,,MSS0180_B241_F36,
"7.5 ips, 1/2 mono track","Mac Low concert, Tyler School of Art at Temple University, Philadelphia",1980 February 6,1980,February 6,1980,1980,2 tapes on 1980 February 6 - Temple U are dupes,,,2 tapes on 1980 February 6 - Temple U are dupes,,MSS0180_B242_F01,
"7.5 ips, stereo 1/2 track",Sari Dienes Shell Cascade,1980 May 20,1980,May 20,1980,1980,Recorded by Stuart Leigh. Copy of Cassette.,,,,"reel lbaeled ""RJ 97""",MSS0180_B242_F02,
"7.5 ips, stereo 1/4 tracks","1st Milarepa Gatha (1976), performed at Kitchen",1980 October 18,1980,October 18,1980,1980,"Features Mac Low and Tardos, voices; Armand Schwerner, voice and bass clarinet; and Daniel Goode, clarinet.",,,,,MSS0180_B242_F03,"Anne Tardos, Armand Schwerner"
"7.5 ips, stereo 1/2 track","A Vocabulary Gatha for Pete Rose, performed at Kitchen",1980 October 18,1980,October 18,1980,1980,"Features Pete Rose, bass recorder and voice.",,,,,MSS0180_B242_F04,
"7.5 ips, stereo 2-track",First Performace of Free Gatha I,1980 October 29,1980,October 29,1980,1980,Also 2nd and 3rd performance.,,,,,MSS0180_B242_F05,
"7.5 ips, stereo",First Three Performances of Free Gatha I,1980 October 29,1980,October 29,1980,1980,Extensive notes on envelope.,,,,,MSS0180_B242_F06,
"7.5 ips, stereo 1/2 track",Fourth Performance of Free Gatha I,1980 November 2,1980,November 2,1980,1980,Clarinda Mac Low on the typewritter.,,,,,MSS0180_B242_F07,Clarinda Mac Low
"7.5 ips, stereo 1/2 track",Kitchen Performance,1980 November 3,1980,November 3,1980,1980,"1st Milarepa Gatha, Winds, Trio for One Piano Six Hands. Extensive notes on box.",,,,,MSS0180_B242_F08,
"7.5 ips, stereo 2-track",Diane I,1980,1980,,1980,1980,,,,,,MSS0180_B242_F09,
"7.5 ips, stereo 2-track",Fishes of the Philippine Seas,1980,1980,,1980,1980,"By Alison Knowlless, performed by Jackson Mac Low at Franklin Furnace",,,,,MSS0180_B242_F10,
"7.5 ips, stereo 1/2 track","Works performed at Bilhaud Gallery, New York",1981 February 26,1981,February 26,1981,1981,"""Whitney counterweight""; ""1st Milarepa Gatha"" featuring Mac Low and Anne Tardos; ""Instruments"" featuring Andrew Bolotowsky and Susan Stenger flutes, James Staley trombone, Rhys Chatham and Ned Sublette eclectic guitars, and Mac Low as narrator.",,,,,MSS0180_B242_F11,Anne Tardos
"7.5 ips, 1/2 mono track","1st Milarepa Gatha (1976), Baltimore performance ; Free Gatha 1 (1978), New York performance",1981 March 26,1981,March 26,1981,1981,"""1st Milarepa Gatha""  featuring Mac Low voice and Leroy Keltner on trombone; ""Free Gatha 1"" featuring Mac Low and Tardos voice, Armand Schwerner voice and bass clarinet, Andrew Bolotowsky flute.",,,,,MSS0180_B242_F12,"Anne Tardos, Armand Schwerner"
"7.5 ips, stereo","Milarepa Gatha, Baltimore Performance Copy",1981 March 28,1981,March 28,1981,1981,"Mac Low voice, and Leroy Keltner on trombone. Cassette on 1981 March 28 - Baltimore Performance is a duplicate",,,Cassette on 1981 March 28 - Baltimore Performance is a copy.,,MSS0180_B242_F13,
"7.5 ips, stereo 2-track","Workshop, San Francisco",1981 May 31,1981,May 31,1981,1981,,,,,,MSS0180_B242_F14,
"7.5 ips, stereo 2-track",Harvest Moon Festival performance,1981 August 16,1981,August 16,1981,1981,Mac Low and Anne Tardos,,2 reels,,"electrical hum, material recorded on both sides","MSS0180_B242_F15_1, MSS0180_B242_F15_2",Anne Tardos
"7.5 ips, stereo 2-track",Harvest Moon Festival performance,1981 August 16,1981,August 16,1981,1981,Mac Low and Anne Tardos,,2 reels,,material recorded on both sides,"MSS0180_B242_F16_1, MSS0180_B242_F16_2",Anne Tardos
"7.5 ips, stereo 1/2 track",The Pronouns,1981 October,1981,October,1981,1981,Master track.,,,,,MSS0180_B242_F17,
"7.5 ips, stereo 2-track","Mac Low at Apollohuis, Eindhoven, Holland",1981 October 11,1981,October 11,1981,1981,Cassette on 1981 October 11 - Appollohuis is a dupe,,2 reels,,,MSS0180_B242_F18,
"7.5 ips, stereo 2-track","Mac Low at Apollohuis, Eindhoven, Holland",1981 October 11,1981,October 11,1981,1981,Cassette on 1981 October 11 - Appollohuis is a dupe,,2 reels,,,MSS0180_B242_F19,
"7.5 ips, stereo 2-track",Milarepa Quartet,1982,1982,,1982,1982,,,,,,MSS0180_B242_F20,
"7.5 ips, 1/2 mono track",Roulette Concert Tape I,1982 April 13,1982,April 13,1982,1982,,,,,,MSS0180_B242_F21,
"7.5 ips, 1/2 mono track",Roulette Concert Tape II,1982 April 23,1982,April 23,1982,1982,,,,,,MSS0180_B242_F22,
"7.5 ips, stereo 2-track",Words N' Ends from EZ,1982 May,1982,May,1982,1982,3 voices on one channel.,,,,,MSS0180_B242_F23,
"7.5 ips, 2 track",1st Three Performaces of Free Gatha I,1982 June 2,1982,June 2,1982,1982,,,,,,"MSS0180_B242_F24_1, MSS0180_B242_F24_2",
"7.5 ips, 2 track",8-Voice Version of Free Gatha I,1982 June 3,1982,June 3,1982,1982,First three performances.,,,,,MSS0180_B242_F25,
"7.5 ips, 2 track",Rehearsal at Niblock's,1982 June 4,1982,June 4,1982,1982,,,,,,MSS0180_B242_F26,
"7.5 ips, stereo 2-track",Words N' Ends from EZ,1982 June 4,1982,June 4,1982,1982,"Remastered on March 19, 1985 by CELLUM.",,,,,MSS0180_B242_F27,
"7.5 ips, 2 track",WBAI Broadcast Part I,1982 September 7,1982,September 7,1982,1982,The rest of the broadcast is on a cassette. Performed on Jim Theo Bald's program.,,,,,MSS0180_B242_F28,
"7.5 ips, 1/2 track","Winds, performed for John Cage",1982 September 12,1982,September 12,1982,1982,Eleven poems. Cassette on 1981 September 12 - Rinzai is a duplicate,,,Cassette on 1981 September 12 - Rinzai is a dupe,,MSS0180_B242_F29,
"7.5 ips, 1/2 track",Dialog Unter Dichtern,1982 October 13,1982,October 13,1982,1982,Recorded in Koln. 1st mix.,,,,,MSS0180_B242_F30,
"7.5 ips, 2 track",Dialog Unter Dichtern,1982 October 14,1982,October 14,1982,1982,Recorded in Koln. Extensive notes on paper in box. 2nd mix.,,,,,MSS0180_B242_F31,
"7.5 ips, 2 track",Napoli,1983 January 28,1983,January 28,1983,1983,Featuring Jackson Mac Low and Anne Tardos.,,,,beginning is distorted,MSS0180_B247_F04,Anne Tardos
"15 ips, 4 track",An Evening of Works by Jackson Mac Low and Anne Tardos,1984 May 18,1984,May 18,1984,1984,Extensive notes on paper from the event inside box. Performed at the Experimental Intermedia Foundation.,,,,,MSS0180_B247_F05,Anne Tardos
7.5 ips,"Mac Low and Tardos, St. Mark's Church Poetry Project Benefit, New York",1985 January 1,1985,January 1,1985,1985,,,,,,MSS0180_B242_F32,Anne Tardos
"7.5 ips, stereo 1/2 track",Words N' Ends from EZ,1985 May 18,1985,May 18,1985,1985,,,,,,MSS0180_B242_F33,
"7.5 ips, 2 track",Songs and Simultaneities,1985,1985,,1985,1985,"Reel 1. Featuring Jackson Mac Low and Anne Tardos. A Vocabulary for Anne Tardos, Syllables, Heterophony, Octet for a Sunset, Aum Gatha, Real Sleeper, Real Dreamer.",,,,,MSS0180_B247_F06,Anne Tardos
"7.5 ips, 2 track",Songs and Simultaneities,1985,1985,,1985,1985,"Reel 2. Featuring Jackson Mac Low and Anne Tardos. Tara Gatha, Phonemicon from ""Hereford Bosons 1,"" and Figure and Escape.",,,,,MSS0180_B247_F07,Anne Tardos
"15 ips, 4 track",Birds of New Zealand,1986,1986,,1986,1986,,,,,,MSS0180_B247_F08,
"7.5 ips, 2 track",Trope Market,1993 March 27,1993,March 27,1993,1993,Poem and words read by Jackson Mac Low and Anne Tardos. Recorded for performance at Experimental Intermedia. ,,,,"tape is 1/2"" width; must be out-sourced",MSS0180_B247_F09,Anne Tardos
"7.5 ips, 2 track","Works for Voices, Jackson Mac Low and Anne Tardos",1993 March,1993,March,1993,1993,"Detailed performance list included with reel; not clear if this was the tape used for the NY performance at the Experimental Media Foundation, or the pre-recorded tapes  used during the performance.",,Reel 72,,,MSS0180_B274_F10,Anne Tardos
15 ips,11 Studies for 11 Plugers Madrigals,between 1950 and 1980,,,1950,1980,By Ned Rerum,,,,,MSS0180_B242_F34,
"7.5 ips, stereo 1/2 track",A Threnody for Sylvia Plath,circa 1973,,,1968,1978,Mix of Diane Wakoski with Sonia Sanchez,,,,,MSS0180_B242_F35,Diane Wakoski
"7.5 ips, 2 track",ABC 123,between 1950 and 1980,,,1950,1980,Performed by Jackson Mac Low?,,,,,MSS0180_B242_F36,
"7.5 ips, 2 track",Arts Extra Series of Jackson Mac Low,circa 1983,,,1978,1988,Extensive notes on box.,,,,,MSS0180_B247_F10,
"7.5 ips, 2 track",Bleiweis Rehearsals?,circa 1976,,,1971,1981,Envelope in first folder.,,,,long gap in middle,MSS0180_B242_F37,
"7.5 ips, 2 track",Bleiweis Rehearsals?,circa 1976,,,1971,1981,,,,,,MSS0180_B243_F01,
"7.5 ips, 2 track",Introduction to Biocomputer Exercises,between 1950 and 1980,,,1950,1980,By John Lilly. #2450. Lecture. 1 hour.,,,1 hour,,MSS0180_B243_F02,
"7.5 ips, full track",Lett,circa 1976,,,1971,1981,incomplete copy,,,,,MSS0180_B243_F03,
"7.5 ips, 2 track",Meditative Exercises,between 1950 and 1980,,,1950,1980,By John Lilly. #4360. 1.5 hours.,,,1.5 hours,,"MSS0180_B243_F04_1, MSS0180_B243_F04_2",
"15 ips, stereo",Milarepa Gatha,circa 1976,,,1971,1981,,,,,,MSS0180_B243_F05,
"7.5 ips, 2 track",Milarepa Quartet,circa 1982,,,1977,1987,,,,,,MSS0180_B247_F11,
"7.5 ips, stereo 1/4 tracks",Models and Beliefs,between 1950 and 1980,,,1950,1980,By John Lilly.,,,,,"MSS0180_B243_F06_1, MSS0180_B243_F06_2",
"7.5 ips, 2 track",Parts of New Mexico cassettes,between 1950 and 1980,,,1950,1980,,,,,,MSS0180_B243_F07,
"7.5 ips, stereo 1/4 tracks",Programming Awareness,between 1950 and 1980,,,1950,1980,By John Lilly.,,,,,"MSS0180_B243_F08_1, MSS0180_B243_F08_2",
"7.5 ips, stereo",Sari Dienes,circa 1978,,,1973,1983,,,,,,MSS0180_B243_F09,
"3.75 ips, mono 1/2 track",Small Groups - Some Sociological Perspectives,between 1950 and 1980,,,1950,1980,By Shepherd Clovis. Chapter 5 to the end of the book.,,,,,MSS0180_B243_F10,
"7.5 ips, 1/2 mono track","Smoked Shank Pork Shoulder, It was only in a Country like India",between 1950 and 1980,,,1950,1980,,,,,recorded on both sides,"MSS0180_B243_F11_1, MSS0180_B243_F11_2",
"7.5 ips, 2 track",Speech on Population,between 1950 and 1980,,,1950,1980,,,,,recorded on both sides,"MSS0180_B243_F12_1, MSS0180_B243_F12_2",
"7.5 ips, 1/2 track",Text on the Opposite Page,circa 1970,,,1965,1975,,,,,sound effects only; no spoken word,MSS0180_B243_F13,
"7.5 ips, 1/2 track",The 5th Biblical Poem,circa 1970,,,1965,1975,,,,,"tape on non-standard (""AEG"") hub",MSS0180_B247_F12,
stereo,The Black Tarantula Crossword Gathas,circa 1973,,,1968,1978,,,,,"also listed on box: ""The 8-Voice Stereo-Canon""",MSS0180_B243_F14,
"3.75 ips, mono 2 track",Twitter Tape,between 1950 and 1980,,,1950,1980,,,,,"two sections, extremely muffled",MSS0180_B243_F15,
7.5 ips,Words N' Ends from EZ,circa 1982,,,1977,1987,,,,,,MSS0180_B243_F16,
"7.5 ips, 2 track",RM 1 - Spencer Holst's Triads,circa 1958,,,1953,1963,,,RM 1,,,"MSS0180_B243_F17_1, MSS0180_B243_F17_2",Spencer Holst
"3.75 ips, mono 1/2 track",RM 1A - Spencer Holst Reading and Telling,circa 1958,,,1953,1963,Recorded at 965 Hoe Ave Bronx. Also reading from the Iching,,RM 1A,,recorded on both sides,"MSS0180_B243_F18_1, MSS0180_B243_F18_2",Spencer Holst
"3.75 ips, mono 2 track",RM 2 - Szigeti Plays Bach,between 1950 and 1980,,,1950,1980,Unaccompanied violin. Ends with an unidentified Bach cantata.,,RM 2,,,MSS0180_B243_F19,
"3.75 ips, mono 2 track","RM 3 - Buxtehude, Haydn, and Rossini",between 1950 and 1980,,,1950,1980,"Buxtehude's Jubitate Domino, Hadyn's Nelson Mass, and Rossini's Stabat Mater",,RM 3,,recorded on both sides,"MSS0180_B243_F20_1, MSS0180_B243_F20_2",
"3.75 ips, mono 2 track",RM 4 - Vivaldi and Bach,between 1950 and 1980,,,1950,1980,Vivaldi Concerto and Bach Coffee Cantina,,RM 4,,recorded on both sides,"MSS0180_B243_F21_1, MSS0180_B243_F21_2",
"3.75 ips, mono 2 track",RM 5 - Bach Cantatas 23 and 159,between 1950 and 1980,,,1950,1980,"23: Thou Very God's and David's Son. 159: Come, let us go up to Jerusalem",,RM 5,,recorded on both sides,"MSS0180_B243_F22_1, MSS0180_B243_F22_2",
"3.75 ips, mono 2 track",RM 6 - Bach's Magnificat and Wedding Cantata 210,between 1950 and 1980,,,1950,1980,,,RM 6,,recorded on both sides,"MSS0180_B243_F23_1, MSS0180_B243_F23_2",
"3.75 ips, mono 2 track","RM 7 - Telemann, Handel, Tallis, and Scheidt",between 1950 and 1980,,,1950,1980,Telemann - Overture in C Major. Handel - Organ Concerto. Tallis - Mass. ,,RM 7,,recorded on both sides,"MSS0180_B243_F24_1, MSS0180_B243_F24_2",
7.5 ips,RM 8 - The Satyrs,circa 1975,,,1970,1980,"Featuring Jeremy Steig, Adrian Gillery, Don Macdonald, Eddie Gomez, Warren Bernhardt, Leon Ricks, and Jackie Sherman. Continuous improvisation on WBAI.",,RM 8,,recorded on both sides,"MSS0180_B243_F25_1, MSS0180_B243_F25_1",
"7.5 ips, 2 track",RM 8A - The Satyrs II,circa 1975,,,1970,1980,"Featuring Jeremy Steig, Adrian Gillery, Don Macdonald, Eddie Gomez, Warren Bernhardt, Leon Ricks, and Jackie Sherman. Continuous improvisation on WBAI.",,RM 8A,,recorded on both sides,"MSS0180_B243_F26_1, MSS0180_B243_F26_2",
"7.5 ips, stereo 2 track","RM 9 - Lyget, Martirano, Feldman, and Schubert",between 1950 and 1980,,,1950,1980,Extensive notes on box.,,RM 9,,recorded on both sides,"MSS0180_B243_F27_1, MSS0180_B243_F27_2",
"7.5 ips, full track",RM 10 - Bliem Kern at Manhattan Theatre Club,1974 May 21,1974,May 21,1974,1974,Sound Poetry Workshop. Filtered at NYU Comp Workshop by Jackson Mac Low.,,RM 10,,,MSS0180_B243_F28,
"7.5 ips, stereo",RM 11 - WBAI Free Music Store,1974 April 27,1974,April 27,1974,1974,City Park/Song - Arthur Russell,,RM 11,,,MSS0180_B243_F29,
"3.75 ips, mono 2 track",RM 12 - Coffee Cantata,between 1950 and 1980,,,1950,1980,"Also has Locatelli and other baroque music. KPFK, LA. ",,RM 12,,recorded on both sides,"MSS0180_B243_F30_1, MSS0180_B243_F30_2",
"7.5 ips, stereo 1/2 track",RM 13 - Completing the Square,1974 April 27,1974,April 27,1974,1974,Performed by Jim Rosenberg at WBAI Free Music Store.,,RM 13,,,MSS0180_B243_F31,
"7.5 ips, mono full track",RM 14 - Chanting Tape,between 1950 and 1980,,,1950,1980,Copy of chanting tape. 4 tracks of multiphonic singing. Given to Jackson Mac Low by Richard Leinhart.,,RM 14,,,MSS0180_B243_F32,
7.5 ips,RM 15 - Rothenberg,1968 January 4,1968,January 4,1968,1968,,,RM 15,,,MSS0180_B243_F33,
7.5 ips,RM 16 - Radio Music,between 1950 and 1980,,,1950,1980,Axel Schuetz. Handel - Harmonious Blacksmith. Mozart - Turkish March.,,RM 16,,recorded on both sides,"MSS0180_B243_F34_1, MSS0180_B243_F34_2",
"7.5 ips, 2 track",Young,between 1950 and 1980,,,1950,1980,Poetry reading,,,,recorded on both sides,"MSS0180_B243_F35_1, MSS0180_B243_F35_2",
"7.5 ips, 1/2 track",,between 1950 and 1980,,,1950,1980,Music,,,,,MSS0180_B243_F36,
"7.5 ips, stereo",Jackson Mac Low talk,between 1950 and 1980,,,1950,1980,Reading with tape piece,,,,,MSS0180_B244_F01,
,The Diane 1 tape,circa 1976,,,1971,1981,Ten second phrase,,,,,MSS0180_B244_F02,
"7.5 ips, 2 track",Piano lesson or rehearsal,between 1950 and 1980,,,1950,1980,Jackson Mac Low instructing in background,,,,,MSS0180_B244_F03,
"7.5 ips, 2 track","""The Absence of Silence"" interview with Jackson Mac Low",between 1950 and 1980,,,1950,1980,,,,,,MSS0180_B244_F04,
"7.5 ips, stereo",Tree,circa 1961,,,1956,1966,"Vocal repeating the word ""tree"" with effects ",,,,,MSS0180_B244_F05,
,Vocal sound effects,between 1950 and 1980,,,1950,1980,,,,,,MSS0180_B244_F06,
"7.5 ips, 2 track",Musical performance or rehearsal,between 1950 and 1980,,,1950,1980,Various musical instruments with some spoken word,,,,,MSS0180_B244_F07,
"7.5 ips, 2 track",Untitled poem performance,between 1950 and 1980,,,1950,1980,Guitar with vocalizations,,,,,"MSS0180_B244_F08_1, MSS0180_B244_F08_2",
"7.5 ips, stereo 1/2 track",Converging Stanzas,1982 June 16,1982,June 16,1982,1982,Jackson Mac Low performance,,,,,MSS0180_B244_F09,
,Untitled music,between 1950 and 1980,,,1950,1980,Compilation of several short songs,,,,,MSS0180_B244_F10,
"7.5 ips, stereo 1/4 tracks",Panel discussion about poetry and technology,between 1950 and 1980,,,1950,1980,Various speeds,,,,,MSS0180_B244_F11,
,Jackson Mac Low group performance,between 1950 and 1980,,,1950,1980,,,,,,"MSS0180_B244_F12_1, MSS0180_B244_F12_2",recorded on both sides
